birthYear, deathYear, genre 
1948,2007,Rock music
1948,2007,Jazz
1948,2007,Popular music
1944,1987,Reggae
1944,1987,Rhythm and blues
1944,1987,Ska
1944,1987,Rocksteady
1927,2010,Rock and roll
1927,2010,Jazz
1965,2010,Pop music
1945,1997,Pop music
1945,1997,Rock and roll
1945,1997,Psychedelic music
1936,1990,Country music
1923,2010,Big band
1923,2010,Swing music
1923,2010,Latin jazz
1923,2010,Jazz
1934,2005,Indian classical music
1934,2005,Playback singer
1920,1977,Folk music of Ireland
1919,2008,Folk music of Ireland
1908,1962,Indian classical music
1912,1981,Carnatic music
1966,1993,Reggae
1930,2003,Central_Joropo
1910,1910,Thumri
1910,1910,Bhajan
1910,1910,Khyal
1930,2011,Jazz
1930,2011,Dixieland
1877,1965,Jazz
1924,1971,Blues
1924,1971,Delta blues
1902,1987,Country music
1915,2001,Bluegrass music
1915,2001,Old-time music
1939,2012,Big band
1939,2012,Latin jazz
1939,2012,Son (music)
1939,2012,Latin pop
1919,1982,Filmi
1919,1982,Folk music of Punjab
1883,1951,Carnatic music
1955,2009,Persian traditional music
1933,1987,World music
1933,1987,Film score
1940,2008,Blues
1940,2008,Blues rock
1896,1954,Ragtime
1896,1954,Film score
1926,1972,Jazz fusion
1926,1972,Jazz
1952,1993,New wave music
1952,1993,Rock music
1952,1993,Power pop
1954,2011,Reggae
1954,2011,Dancehall
1921,2007,Folk music
1904,1959,Classical music
1960,2014,Reggae
1960,2014,Dub music
1960,2014,Dancehall
1964,2008,Hindustani classical music
1964,2008,Ghazal
1941,1992,Blues
1941,1992,Funk
1941,1992,Rhythm and blues
1941,1992,Jazz
1944,2004,Reggae
1944,2004,Rocksteady
1938,2002,Jazz
1930,1975,Huayno
1930,1975,Huaylas_culture
1930,1975,Muliza
1901,1946,Kemençe of the Black Sea
1942,2002,Folk rock
1927,2014,Classical music
1918,2006,Chanson
1948,2002,Pop music
1924,1996,Jazz
1930,1996,Comedy
1934,2009,Gospel music
1934,2009,Christian music
1916,2001,Western swing
0015,1997,Hindustani classical music
1935,2002,Folk music
1935,2002,Filmi
1963,2001,Reggae
1963,2001,Eurodance
1951,2013,Reggae
1937,1985,Folk music
1937,1985,Contemporary classical music
1941,2014,Country music
1956,2006,Hip hop music
1951,2012,Sung poetry
1926,2007,Bolero
1927,2005,Film score
1925,2010,Carnatic music
1914,2010,Carnatic music
1914,2010,Hindustani classical music
1951,1998,Soukous
1967,1993,Heavy metal music
1967,1993,Speed metal
1967,1993,Hard rock
1963,1998,Gospel music
1940,1987,Country music
1910,1981,Music of Cuba
1919,1991,Folk music
1904,1998,Cajun music
1916,2003,Christian country music
1926,1989,Chicago blues
1905,1957,Cinema of India
1946,2008,Pop music
1946,2008,Rock music
1946,2008,Schlager music
1958,2014,Jazz
1940,2000,Jazz
1947,2008,Igbo highlife
1933,2007,Rhythm and blues
1887,1963,Musical theatre
1887,1963,Film score
1945,1981,Arabic music
1897,1967,Hindustani classical music
1930,1997,Rhythm and blues
1930,1997,Bebop
1930,1997,Soul music
1930,1997,Hard bop
1930,1997,Jazz fusion
1930,1997,Jazz
1908,1991,Mambo (music)
1908,1991,Danzón
1908,1991,Classical music
1924,1998,Jazz
1922,1984,Country music
1895,1955,Texas blues
1899,1958,Jazz
1899,1958,British dance band
1958,1999,Thrash metal
1872,1939,Opera
1929,1993,Chicago blues
1937,2002,Soul music
1941,1967,Rhythm and blues
1941,1967,Soul music
1932,2011,Blues
1932,2011,Trad jazz
1966,2010,Rock music
1966,2010,Bluegrass music
1966,2010,Power pop
1924,2008,Jazz
1958,2013,Dark ambient
1958,2013,Drone music
1958,2013,Experimental music
1958,2013,Minimal
1930,1986,Opera
1964,2000,Punk rock
1964,2000,Hard rock
1964,2000,Folk rock
1964,2000,Rap metal
1964,2000,Bard (Soviet Union)
1964,2000,Rap rock
1948,2006,Psychedelic rock
1948,2006,Rock music
1948,2006,Progressive rock
1948,2006,Psychedelic folk
1948,2006,Experimental rock
1928,2003,Pop music
1928,2003,Jazz
1916,2014,Traditional pop music
1946,2010,Reggae
1932,2010,Folk music
1932,2010,World music
1932,2010,Mbalax
1932,2010,Njuup
1885,1965,Religious Jewish music
1981,2015,Folk music
1981,2015,Rhythm and blues
1981,2015,Mandopop
1981,2015,Jazz
1917,1967,Popular music
1972,2009,Folk music
1972,2009,Pop music
1970,2001,Blues
1970,2001,Psychedelic rock
1970,2001,Rock music
1970,2001,Hard rock
1970,2001,Blues rock
1957,2013,Jazz
1912,1985,Schlager music
1912,1985,Hawaii_music
1887,1963,Classical music
1933,2012,Salsa music
1933,2012,Bolero
1933,2012,Plena
1933,2012,Bomba (Puerto Rico)
1933,2012,Son (music)
1933,2012,Latin pop
1933,2012,Acoustic music
1933,2012,Guaguancó
1933,2012,Aguinaldo
1951,2015,Psychedelic rock
1951,2015,Hard rock
1951,2015,Blues rock
1951,2015,Jewish rock music
1951,2015,Nigun
1929,2001,Makossa
1929,2001,Classical guitar
1929,2001,Electronic music
1929,2001,Jazz
1929,2001,Popular music
1923,2008,Blues
1923,2008,Chicago blues
1923,2008,Jazz
1915,1995,Ranchera
1915,1995,Corrido
1898,1976,Tango music
1938,2013,Pop music
1938,2013,Easy listening
1919,1972,Marching band
1919,1972,Drum and bugle corps (modern)
1928,1984,Jazz
1914,1995,Pop music
1914,1995,Easy listening
1932,2013,Jazz
1948,1997,Disco
1948,1997,Pop rock
1936,1983,Rhythm and blues
1936,1983,Southern rock
1936,1983,British rock
1931,2011,Big band
1947,1990,Electronic music
1947,1990,Experimental music
1943,2003,Free jazz
1943,2003,Avant-garde jazz
1931,2012,Jazz
1913,1965,Folk music
1954,2014,Rhythm and blues
1954,2014,Soul music
1923,1981,Jazz
1903,1978,Folk music
1889,1948,Big band
1889,1948,Jazz
1889,1948,Vaudeville
1935,1990,Jazz
1941,2015,Electric blues
1941,2015,Soul blues
1923,2004,Classical music
1793,1840,Classical music
1893,1935,Classical music
1799,1874,Classical music
1932,2014,Chanson
1971,1999,Hip hop music
1926,1988,Blues
1897,1971,Big band
1897,1971,Swing music
1897,1971,Orchestral jazz
1942,2004,Folk music
1922,2002,Folk music
1878,1960,Ragtime
1878,1960,Jazz
1939,2006,Rhythm and blues
1927,2011,Jazz
1947,1986,Reggae
1893,1956,Delta blues
1893,1956,Country blues
1943,1989,Bebop
1943,1989,Hard bop
1943,1989,Avant-garde jazz
1943,1989,Jazz
1836,1904,Spiritual (music)
1901,1953,Classical music
1923,2008,Pop music
1899,1965,Old-time music
1940,2012,Jazz
1928,2010,Classical music
1907,1983,Bolero
1907,1983,Son (music)
1907,1983,Guaracha
1929,2011,Contemporary Christian music
1929,2011,Gospel music
1929,2011,Traditional black gospel
1929,2011,Urban contemporary gospel
1933,1997,Arabic music
1933,1997,Syrian_folk_music
1900,1980,Folk music
1900,1980,Balochi language
1910,1974,Culture of Egypt
1910,1974,Arabic music
1942,2012,Free jazz
1952,1999,Persian pop music
1927,2013,Highlife
1927,2013,Juju
1893,1972,Opera
1911,2007,Trova
1923,1999,Jazz
1948,2009,Pop music
1948,2009,Soul music
1952,2004,Pop rock
1952,2004,Jazz
1864,1937,Church music
1864,1937,Children's song
1958,2009,Classical music
1931,2007,Orchestra
1931,2007,Contemporary classical music
1940,2008,Zydeco
1939,1982,Blues
1939,1982,Folk music
1939,1982,Skiffle
1894,1975,Swing music
1894,1975,Jazz
1898,1971,Country music
1898,1971,Old-time music
1947,2001,Rock music
1947,2001,Music and politics
1947,2001,Turkish folk music
1946,2014,Music of Ireland
1919,2008,Hindustani classical music
1934,2014,Tabla
1934,2014,Hindustani classical music
1926,1984,Folk music
1943,1998,Disco
1943,1998,Pop music
1943,1998,Rhythm and blues
1943,1998,Soul music
1943,1998,Jazz
1864,1906,Comic opera
1864,1906,Popular music
1957,2012,Folk music
1890,1961,Opera
1944,2001,Psychedelic rock
1944,2001,World music
1944,2001,Art rock
1944,2001,Progressive rock
1944,2001,Ambient music
1944,2001,Krautrock
1944,2001,New-age music
1944,2001,Electronic music
1944,2001,Neoclassicism (music)
1918,2006,Popular music
1918,1991,Musical film
1918,1991,Musical theatre
1917,1989,Blues
1926,1960,Blues
1914,1978,Country music
1914,1978,Western music (North America)
1943,2014,Rhythm and blues
1943,2014,Dance music
1905,1986,Easy listening
1939,1980,Funk
1939,1980,Rock music
1941,1988,Gospel music
1941,1988,Traditional black gospel
1963,2001,Rhythm and blues
1963,2001,Soul music
1913,1985,Pop music
1931,1976,Rhythm and blues
1931,1976,Soul music
1941,1992,Free jazz
1941,1992,Jazz
1942,2008,Rhythm and blues
1942,2008,Soul blues
1925,1989,Blues
1942,1990,Blues
1942,1990,Rhythm and blues
1889,1962,Old-time music
1903,1975,Country music
1903,1975,Bluegrass music
1941,2007,Free improvisation
1941,2007,Folk rock
1941,2007,Experimental rock
1966,1992,Noise rock
1915,2008,Rockabilly
1949,1995,Reggae
1949,1995,Progressive rock
1926,2008,Country music
1885,1979,Ragtime
1885,1979,March (music)
1885,1979,Waltz (music)
1921,2006,Soul music
1921,2006,Jazz
1968,1996,Shawiya language
1970,2009,Mandopop
1964,1990,House music
1964,1990,Contemporary R&B
1964,1990,Hip hop music
1964,1990,Freestyle music
1899,1984,Popular music
1944,2013,Chicago blues
1962,2008,Chicago blues
1962,2008,Electric blues
1936,2007,Igbo highlife
1988,2014,Contemporary Christian music
1898,1975,Carnatic music
1916,1993,Rock music
1916,1993,Rhythm and blues
1916,1993,Soul music
1916,1993,Jazz
1970,2013,Ska
1970,2013,Alternative rock
1970,2013,Skate punk
1970,2013,Rap metal
1970,2013,Rap rock
1970,2013,Reggae rock
1926,2008,Jazz
1963,1991,Country music
1950,2013,Australian rock
1972,1991,Contemporary R&B
1902,2002,Jazz
1949,1974,Pop music
1949,1974,Rock music
1947,2012,Country rock
1950,1992,Flamenco
1950,1992,Classical music
1950,2008,Blues
1950,2008,Country music
1950,2008,Rock music
1950,2008,Soul music
1950,2008,Alternative country
1950,2008,Rockabilly
1950,2008,Norteño (music)
1950,2008,Bakersfield sound
1890,1929,Jazz
1948,2003,Pop rock
1925,1985,Jazz
1966,2008,Black metal
1966,2008,Death metal
1966,2008,Speed metal
1966,2008,Thrash metal
1965,2011,World music
1929,2001,Rhythm and blues
1960,2011,Rhythm and blues
1949,2007,Pop music
1949,2007,Progressive rock
1949,2007,Pop rock
1949,2007,Contemporary R&B
1949,2007,Music of Java
1876,1940,Country music
1876,1940,Folk music
1876,1940,Old-time music
1926,1998,Music of Venezuela
1926,1998,List of Caribbean music genres
1944,2002,West Coast jazz
1924,1999,Rhythm and blues
1924,1999,Jazz
1923,1997,Bebop
1923,1997,Swing music
1923,1997,Cool jazz
1923,1997,Jazz
1868,1952,Dixieland
1884,1957,Revue
1884,1957,Operetta
1884,1957,Cabaret
1884,1957,Music hall
1884,1957,Schlager music
1943,1983,Samba
1943,1983,Música popular brasileira
1883,1908,Ragtime
1933,1993,Louisiana blues
1933,1993,Swamp blues
1933,1993,Electric blues
1911,1986,Rhythm and blues
1911,1986,Jump blues
1911,1986,Cajun music
1911,1986,Texas blues
1922,1992,Blues
1922,1992,Jump blues
1886,1972,20th-century classical music
1926,1973,Jazz
1946,2007,Rhythm and blues
1896,1975,Old-time music
1945,1999,New wave music
1945,1999,Punk rock
1945,1999,Post-punk
1922,1978,Southern gospel
1922,1978,Christian music
1901,1962,Swing music
1923,2006,Dixieland
1900,1970,Country music
1900,1970,Old-time music
1940,2008,Country music
1948,2004,Folk music
1948,2004,Rock and roll
1901,1987,Samba
1903,1983,Country music
1948,2008,Rock music
1917,1986,Jazz
1917,1998,Country music
1936,1989,Free jazz
1936,1989,Avant-garde jazz
1940,2004,Rock music
1936,2005,Calypso music
1936,2005,Steelpan
1943,2014,Folk music
1906,1941,Cajun music
1941,1986,Disco
1941,1986,Funk
1941,1986,Rhythm and blues
1941,1986,Soul music
1941,1986,Jazz fusion
1947,2007,New wave music
1947,2007,Rock music
1950,1996,Country music
1950,1996,Folk music
1954,2000,Benga music
1907,1976,Jazz
1914,1989,Country music
1950,1999,Country music
1927,2005,Piedmont blues
1927,2005,Songster
1907,1969,Blues
1945,2004,Folk music
1945,2004,World music
1945,2004,Music of Greece
1968,2001,Gangsta rap
1968,2001,West Coast hip hop
1968,2001,Hip hop music
1921,1977,Reggae
1921,1977,Ska
1921,1977,Calypso music
1921,1977,Mento
1939,1996,Bluegrass music
1939,1996,Progressive bluegrass
1903,1980,Old-time music
1907,1989,Blues
1894,1955,Boogie-woogie
1894,1955,Piano blues
1894,1955,Vaudeville
1924,1996,Christian music
1957,2010,Blues
1887,1957,Blues
1887,1957,Boogie-woogie
1887,1957,Twelve-bar blues
1964,2011,Folk music
1986,2015,Música sertaneja
1986,2015,Arrocha
1948,2003,Pop music
1948,2003,Soul music
1948,2003,Jazz
1924,2011,Rock and roll
1906,1962,Blues
1914,1970,Country music
1931,1998,Country music
1931,1998,Jazz
1910,1995,Country music
1910,1995,Old-time music
1923,1997,Bluegrass music
1923,1997,Old-time music
1961,1996,Funk
1961,1996,Soul music
1961,1996,Contemporary R&B
1906,1971,Piano blues
1915,1968,Jazz
1915,1968,Popular music
1924,1988,Folk music
1924,1988,World music
1906,1975,Tango music
1949,2001,Folk music
1949,2001,Children's music
1949,2001,Popular music
1924,2002,Hindustani classical music
1921,2000,Blues
1921,2000,Bebop
1921,2000,Jazz
1911,1983,Jazz
1924,2006,Jazz
1926,2010,Electric blues
1915,1972,Detroit blues
1915,1972,Country blues
1957,2009,Contemporary Christian music
1957,2009,Gospel music
1940,2010,Electric blues
1940,2010,Soul blues
1948,2011,Southern rock
1948,2011,Blues rock
1948,2011,Roots rock
1948,2011,Texas blues
1948,2011,Americana (music)
1883,1946,Ragtime
1977,2008,Hip hop music
1922,1995,Cajun music
1922,1995,Creole music
1993,2012,Hip hop music
1962,1995,Heavy metal music
1962,1995,Hard rock
1931,1990,Country music
1976,2006,Rhythm and blues
1976,2006,Hip hop music
1906,1979,Country blues
1906,1979,Piedmont blues
1906,1979,East Coast blues
1951,2007,Jazz
1962,1999,Pop rock
1962,1999,Musical theatre
1962,1999,Rock català
1958,2015,Pop music
1926,2007,Big band
1926,2007,Son (music)
1926,2007,Afro-Cuban jazz
1926,2007,Cuban rumba
1959,2002,Pop music
1959,2002,Synthpop
1959,2002,Pop rock
1954,2012,Electronic music
1936,1996,Hard bop
1936,1996,Jazz
1913,1981,Jazz
1941,1997,Soul music
1941,1997,Traditional pop music
1941,1997,Jazz
1923,1953,Piedmont blues
1868,1938,Classical music
1957,2008,Experimental music
1895,1957,Jazz
1908,1980,Samba
1920,1973,Mambo (music)
1920,1973,Son montuno
1920,1973,Guaguancó
1920,1973,Guaracha
1934,1976,Blues
1934,1976,Country music
1934,1976,Folk music
1934,1976,Pop music
1934,1976,Jazz
1929,1995,Gospel music
1943,2007,Folk music
1868,1920,March (music)
1914,1965,Country music
1914,1965,Western swing
1914,1965,Jazz
1922,2007,Bebop
1922,2007,Hard bop
1943,2013,Afrobeat
1943,2013,Reggae
1956,1993,New wave music
1956,1993,Synthpop
1956,2012,Rock and roll
1956,2012,Blues rock
1873,1916,Ottoman classical music
1941,2011,Morna (music)
1941,2011,Coladeira
1957,2007,New wave music
1957,2007,Punk rock
1910,1989,Music of Tunisia
1927,1999,Exotica
1955,2008,Blues
1955,2008,Gospel music
1955,2008,Neo soul
1955,2008,Jazz
1941,1983,Salsa music
1933,2010,Hindustani classical music
1940,2015,Electronica
1940,2015,Filmi
1940,2015,Music of Bollywood
1973,1993,West Coast hip hop
1933,1990,Southern gospel
1852,1925,Popular music
1817,1907,Classical music
1817,1907,Romantic music
1937,2014,Gospel music
1937,2014,Traditional black gospel
1937,2014,Urban contemporary gospel
1921,2009,Jazz
1921,2009,Classical music
1934,2004,Blues
1907,1946,Schlager music
1900,1990,Mambo (music)
1900,1990,Danzón
1968,2008,African_popular_music_Jazz
1908,1972,Folk music
1908,1972,Music in the Chechen Republic
1929,1997,Carnatic music
1932,2002,Pop music
1853,1926,Old-time music
1848,1931,Old-time music
1930,1968,Finnish tango
1941,2002,Film score
1936,2014,Reggae
1936,2014,Ska
1936,2014,Rocksteady
1904,1995,Jazz
1930,2009,Chicago blues
1920,2010,Música criolla
1948,1983,Flamenco
1948,1983,Rock_andaluz
1935,2004,Film score
1935,2004,Indian classical music
1925,2008,Jazz
1953,2006,New-age music
1953,2006,Jazz
1923,1995,Country music
1923,1995,Bluegrass music
1946,2014,Pop music
1946,2014,Rock and roll
1970,2010,Heavy metal music
1970,2010,Nu metal
1970,2010,Thrash metal
1943,1971,Psychedelic rock
1943,1971,Rock music
1943,1971,Spoken word
1931,2007,Country music
1941,1991,Pop music
1941,1991,Rock and roll
1934,2009,Music of Scotland
1942,2011,Art rock
1942,2011,Doo-wop
1942,2011,Jazz fusion
1942,2011,Experimental rock
1951,2014,Country music
1951,2014,Rock music
1951,2014,Hard rock
1951,2014,Album-oriented rock
1916,1994,Western swing
1931,2002,Blues
1945,1998,Country music
1945,1998,Rock music
1945,1998,Gospel music
1945,1998,Rockabilly
1902,1967,Swing music
1902,1967,Dixieland
1927,2014,Country music
1927,2014,Cajun music
1926,2008,Bebop
1926,2008,Hard bop
1915,1997,Jazz
1915,1997,Chanson
1950,2008,Blues
1950,2008,Folk music
1934,2004,Rockabilly
1918,2000,Rhythm and blues
1918,2000,Soul music
1918,2000,Jazz
1935,2007,Pop music
1936,2008,Blues
1936,2008,Hard bop
1936,2008,Soul jazz
1936,2008,Jazz
1937,2011,Rhythm and blues
1937,2011,Jazz
1974,2010,Hip hop music
1879,1925,Jazz
1936,2012,Salsa music
1936,2012,Boogaloo
1916,1998,Jazz
1938,2007,Rhythm and blues
1938,2007,Soul music
1914,1982,Country music
1914,1982,Western (genre)
1909,1987,Folk music of Ireland
1921,1965,Blues
1922,1984,Jazz
1951,1981,Hard rock
1951,1981,Pop rock
1912,2011,Swing music
1912,2011,Jazz
1924,1969,Jazz
1912,1997,Hindustani classical music
1938,2014,Rhythm and blues
1938,2014,Soul music
1933,1978,Country music
1933,1978,Folk music
1933,1978,Music of Ireland
1936,2008,Rock and roll
1942,2003,Jazz
1942,2003,Chanson
1932,2008,Rock and roll
1932,2008,Rockabilly
1937,2003,Texas blues
1924,1988,Jazz
1955,2011,Salsa music
1955,2011,Cumbia
1955,2011,Porro
1955,2011,Tropical music
1955,2011,Joeson
1955,2011,Chandé
1945,2008,Jazz fusion
1945,2008,Soul jazz
1945,2008,Post-bop
1945,2008,Jazz
1945,2008,Mainstream jazz
1906,1985,Dixieland
1896,1978,Rhythm and blues
1896,1978,Jazz
1896,1978,Popular music
1916,2014,Jazz
1900,1965,Cajun music
1919,2001,Jazz
1924,2005,Pop music
1924,2005,Jazz
1924,2005,Film score
1921,1957,Blues
1919,2006,Rhythm and blues
1919,2006,Gospel music
1919,2006,Jump blues
1911,1975,Swing music
1911,1975,Jazz
1938,2012,Pop music
1938,2012,Rock music
1938,2012,Skiffle
1941,1998,Country music
1941,1998,Rockabilly
1946,2002,Rock music
1923,1957,Swing music
1923,1957,Jazz
1906,1971,Jazz
1926,1985,Bluegrass music
1947,2008,Country music
1934,2006,Rhythm and blues
1934,2006,Detroit blues
1934,2006,Electric blues
1922,2014,Swing music
1922,2014,Jazz
1921,1979,Memphis blues
1944,2011,Country music
1945,2013,Rock music
1946,2013,Electric blues
1938,2006,Folk music
1938,2006,Celtic music
1954,1999,Blues
1954,1999,Grunge
1954,1999,Alternative rock
1941,2006,Folk music
1948,2015,Folk music
1959,2011,Experimental music
1953,2015,Reggae
1953,2015,Ska
1953,2015,Soul music
1952,1993,Blues
1952,1993,Delta blues
1952,1993,Electric blues
1945,2009,Country rock
1939,1994,Zydeco
1938,2013,Folk music
1938,2013,Satire
1925,2010,Bebop
1925,2010,Hard bop
1925,2010,Jazz
1956,2000,Urban contemporary gospel
1928,2011,Country music
1861,1938,Popular music
1961,2013,Hard rock
1961,2013,Glam metal
1961,2013,Pop rock
1949,1982,Blues
1940,2007,Country music
1940,2007,Rock and roll
1940,2007,Rockabilly
1935,2002,Georgians
1935,2002,Folklore
1935,2002,Symphony
1946,1992,Country music
1946,1992,Folk music
1946,1992,New wave music
1946,1992,Pop music
1946,1992,Rock music
1946,1992,Synthpop
1961,2009,Jazz
1843,1935,Old-time music
1931,1966,Bolero
1931,1966,Mariachi
1931,1966,Ranchera
1931,1966,Corrido
1963,2009,Pop music
1963,2009,Rock music
1963,2009,Garage rock
1963,2009,Alternative country
1963,2009,Americana (music)
1963,2009,Experimental music
1933,1994,Pop music
1930,2001,Jazz
1947,2005,Electric blues
1947,2005,Soul blues
1980,2010,Punk rock
1980,2010,Indie rock
1980,2010,Garage rock
1980,2010,Garage punk
1926,2013,Sangeet Natak
1904,1966,Chicago blues
1933,1971,Chanson
1962,2009,Lovers rock
1949,2003,Arabic music
1949,2003,Syriac music
1902,1967,Opera
1927,1997,Gospel music
1927,1997,Traditional black gospel
1954,2008,Country music
1955,2015,Blues
1955,2015,Rock music
1955,2015,Jazz
1950,1997,Rock and roll
1950,1997,Alternative country
1950,1997,Americana (music)
1920,1991,Classical music
1915,1978,Country music
1960,2011,Jazz fusion
1960,2011,Jazz
1926,1991,Pop music
1926,1991,Jazz
1953,2000,Disco
1953,2000,Funk
1920,2005,Country music
1920,2005,Honky-tonk
1920,2005,Music of Hawaii
1929,1998,Rock and roll
1939,2008,Country music
1939,2008,Rock and roll
1974,2009,Indie rock
1948,2005,Blues
1948,2005,Rock music
1930,2011,Pop music
1939,2001,Folk music
1939,2001,Avant-garde music
1939,2001,American Primitive Guitar
1968,2010,Beat music
1968,2010,Postmodernism
1968,2010,Experimental music
1968,2010,Free verse
1917,1962,West Coast jazz
1942,2014,Hard rock
1942,2014,Folk rock
1942,2014,Jazz fusion
1942,2014,Beat music
1942,2014,Pop rock
1933,2007,Country music
1953,2001,Country music
1897,1985,Hawaiian language
1873,1922,Revue
1873,1922,Broadway theatre
1873,1922,Show tune
1908,1952,Jazz
1943,2006,Rock music
1943,2006,Hard rock
1919,1987,Jazz
1927,2002,Jazz
1550,1630,Renaissance music
1930,1987,Religious music
1942,2007,Garage rock
1942,2007,Folk rock
1942,2007,Pop rock
1942,2007,Baroque pop
1928,1995,Jazz
1908,1975,Big band
1908,1975,Classical music
1961,2010,Heavy metal music
1961,2010,Alternative metal
1961,2010,Industrial metal
1918,1979,Jazz
1967,2000,Blues
1967,2000,Funk
1967,2000,Rock music
1967,2000,Soul music
1947,2004,Hard rock
1947,2004,Folk rock
1947,2004,Blues rock
1943,2011,Country music
1943,2011,Pop music
1864,1927,Ragtime
1951,2004,Blues
1922,2008,Jazz
1935,2012,Electric blues
1922,2002,Blues
1922,2002,Rhythm and blues
1922,2002,Soul music
1927,1999,Chicago blues
1927,1999,Electric blues
1930,2011,Country music
1933,1997,Hard bop
1933,1997,Soul jazz
1969,2008,G-funk
1969,2008,Dancehall
1969,2008,Contemporary R&B
1969,2008,Hip hop music
1918,1974,Blues
1912,1983,Popular music
1915,1978,Country music
1937,1995,Rockabilly
1934,2009,Rhythm and blues
1934,2009,Doo-wop
1949,2000,Southern gospel
1937,1997,Electric blues
1937,1997,Texas blues
1945,1993,Pop music
1940,1997,Country music
1922,1986,Country music
1907,1950,Folk music of Ireland
1938,2014,Electric blues
1929,1985,Rock and roll
1929,1985,Rhythm and blues
1929,1985,Gospel music
1929,1985,West Coast blues
1929,1985,Electric blues
1926,2015,Country music
1926,2015,Swing music
1926,2015,Jazz
1917,1985,Swing music
1917,1985,Stride (music)
1937,1996,Electric blues
1937,1996,Soul blues
1935,2015,Bebop
1935,2015,Hard bop
1935,2015,Jazz
1935,2015,Swing (jazz performance style)
1942,2013,Rock and roll
1914,1972,Big band
1914,1972,Swing music
1945,2005,Country music
1945,2005,Easy listening
1945,2005,Music of Ireland
1897,1944,Country music
1897,1944,Jazz
1897,1944,Music of Hawaii
1938,2008,Reggae
1938,2008,Ska
1938,2008,Rocksteady
1927,1974,Country music
1927,1974,Folk music
1892,1944,Music of Hawaii
1935,1978,Rock and roll
1929,1979,Jazz
1929,2010,Boogie-woogie
1929,2010,Jazz
1961,2005,Reggae
1906,1968,Delta blues
1906,1968,Country blues
1906,2006,Blues
1926,1981,Jazz
1917,1990,Delta blues
1930,2003,Hindustani classical music
1948,1985,Music of Ireland
1948,1985,Theatre music
1946,2002,Country music
1946,2002,Rock music
1964,2009,Trip hop
1931,2000,Folk music
1929,2010,Bambuco
1929,2010,Music of Colombia
1929,2010,Waltz
1929,2010,Guabina
1938,2011,Pop music
1870,1926,Film score
1838,1899,Classical music
1926,2006,Classical music
1923,1995,Swing music
1923,1995,Jazz
1967,2000,Alternative rock
1914,1969,Country blues
1914,1969,Piedmont blues
1914,1969,Protest song
1943,2010,Popular music
1887,1960,Tango music
1917,1994,Classical music
1879,1957,Danzón
1879,1957,Contradanza
1879,1957,Criolla
1937,1998,Pop music
1937,1998,Jazz
1937,1998,Film score
1937,1998,Classical music
1973,2007,Pop music
1973,2007,Psychedelic trance
1973,2007,Techno
1973,2007,Electronic dance music
1938,2012,Pop music
1938,2012,Bolero
1938,2012,Jazz
1936,2015,Tango music
1936,2015,Candombe
1936,2015,Jazz
1936,2015,Milonga (music)
1936,2015,Murga
1942,2014,Salsa music
1944,2002,Flamenco
1925,1999,Copla (music)
1962,1992,Punk rock
1917,1951,Country music
1942,1992,Blues
1942,1992,Country music
1942,1992,Folk music
1902,1958,Blues
1902,1958,Dirty blues
1925,1958,Classical music
1744,1800,Opera
1918,1990,Mambo (music)
1918,1990,Big band
1918,1990,Descarga
1918,1990,Cha-cha-chá (music)
1913,1976,Tango music
1929,1981,Gospel music
1901,1947,Country music
1901,1947,Piedmont blues
1920,1999,Country music
1920,1999,Cajun music
1933,2006,Pop music
1933,2006,Rock and roll
1933,2006,Rockabilly
1915,1962,Jazz
1931,1995,Disco
1931,1995,Rhythm and blues
1935,1998,Country music
1902,1962,Delta blues
1902,1962,Country blues
1935,2004,West Coast blues
1935,2004,Electric blues
1935,2004,Soul blues
1986,2011,Reggae
1901,1975,Cajun music
1926,1983,Blues
1946,2011,Soul music
1869,1929,Ragtime
1869,1929,Cakewalk
1869,1929,Jazz
1869,1929,March (music)
1922,1996,Country music
1922,1996,Swamp blues
1922,1996,Cajun music
1922,1996,Swamp pop
1898,1971,Old-time music
1884,1945,Gospel music
1884,1945,Christian music
1937,1973,Bluegrass music
1937,1973,Acid rock
1937,1973,Marin_County_raga-rock
1937,2004,Jazz
1940,2008,Samba
1940,2008,Bossa nova
1940,2008,Jazz
1974,2006,Neo soul
1974,2006,Hip hop music
1974,2006,Hip hop production
1861,1944,Folk music
1913,1992,Folk music
1957,2006,World music
1957,2006,Jazz
1957,2006,Music of Africa
1916,1963,Country music
1925,1991,Pop music
1925,1991,Soft rock
1943,2015,Christian rock
1943,2015,Garage rock
1906,1978,British dance band
1899,1969,Jazz
1899,1969,British dance band
1935,2008,Country music
1926,2010,Jazz
1952,1986,Funk
1952,1986,Electronic music
1952,1986,Jazz
1936,2007,Jazz
1920,1999,Soul jazz
1920,1999,Jazz
1938,1992,Reggae
1948,2008,Blues
1948,2008,Funk
1948,2008,Rhythm and blues
1948,2008,Progressive rock
1948,2008,Jazz
1937,2002,Soul music
1937,2002,Gospel music
1919,2009,Blues
1919,2009,Folk music
1919,2009,Jazz
1924,2012,Big band
1895,1960,Danzón
1895,1960,Brass band
1817,1876,Classical music
1940,2009,Pop music
1937,2011,Hindustani classical music
1921,2007,Reggae
1921,2007,Ska
1921,2007,Rocksteady
1947,1999,Reggae
1952,2011,Reggae
1909,1967,Folk music
1943,1984,Rhythm and blues
1943,1984,Soul music
1955,2004,New wave music
