birthYear, deathYear, genre 
1904,1990,Big band
1904,1990,Traditional pop music
1904,1990,Easy listening
1929,1984,Jazz
1931,2003,Persian pop music
1922,1987,Carnatic music
1858,1925,Hymn
1858,1925,Children's music
1924,2003,20th-century classical music
1939,1996,Folk music
1939,1996,Peruvian cumbia
1890,1957,Bolero
1890,1957,Canción
1890,1957,Guaracha
1890,1957,Trova
1890,1957,Guajira (music)
1942,2010,Flamenco
1935,2013,Pop music
1935,2013,Cantautorato
1974,2010,Hip hop music
1935,2009,Rhythm and blues
1935,2009,Electric blues
1935,2009,Soul blues
1886,1965,Old-time music
1938,2009,Traditional pop music
1938,2009,Musical theatre
1938,2009,Opera
1938,2009,Religious music
1938,2009,Classical music
1927,2005,Jazz
1927,2005,Classical music
1957,1994,Reggae
1957,1994,Dancehall
1935,2003,Makossa
1897,1974,Jazz
1905,1960,Country blues
1905,1960,Piedmont blues
1968,1994,Soul music
1968,1994,Neo soul
1968,1994,Contemporary R&B
1947,2015,Folk music
1947,2015,Pop-folk
1960,1996,Hi-NRG
1960,1996,Dance-pop
1955,1993,Reggae
1936,2001,Trad jazz
1938,1994,Pop music
1938,1994,Jazz
1905,1976,Electroacoustic music
1915,1974,Pop music
1915,1974,Easy listening
1937,2015,Jazz
1963,2005,House music
1963,2005,Trance music
1963,2005,Rave music
1963,2005,Electronic dance music
1914,2004,Blues
1914,2004,Rhythm and blues
1907,2007,Jazz
1928,2009,Country music
1900,1961,Blues
1907,1997,Old-time music
1922,1981,Pop music
1922,1981,Rhythm and blues
1922,1981,Jazz
1922,1981,Orchestra
1946,2001,Folk music
1946,2001,Pub rock (United Kingdom)
1926,1957,Jazz
1953,2014,Electric blues
1953,2014,Blues rock
1938,2015,Pop music
1938,2015,Rock and roll
1938,2015,Doo-wop
1904,1979,Classical music
1925,1999,Egerländer
1936,2015,Rock and roll
1936,2015,Anatolian rock
1936,2015,Turkish pop music
1936,2015,Ottoman classical music
1956,2012,Reggae
1928,2014,Blues
1928,2014,Bossa nova
1928,2014,Jazz
1936,2011,Anatolian rock
